Edge ID,Start Node,Start Name,Start Coordinates,End Node,End Name,End Coordinates,distance_km,system_ID,start_point_idx,end_point_idx
grid_-29.9_161.5-grid_-29.4_162.25,grid_-29.9_161.5,grid_-29.9_161.5,"(161.5, -29.9)",grid_-29.4_162.25,grid_-29.4_162.25,"(162.25, -29.4)",91.35057362673618,2000.33,91,92
grid_-29.4_162.25-grid_-28.9_163.0,grid_-29.4_162.25,grid_-29.4_162.25,"(162.25, -29.4)",grid_-28.9_163.0,grid_-28.9_163.0,"(163.0, -28.9)",91.63141666258484,2000.33,92,93
grid_-28.9_163.0-pt_20.024_-155.822,grid_-28.9_163.0,grid_-28.9_163.0,"(163.0, -28.9)",pt_20.024_-155.822,"Spencer Beach, nan","(-155.822, 20.024)",6990.793302727733,2000.33,93,94
pt_20.024_-155.822-pt_35.3792_-120.8533,pt_20.024_-155.822,"Spencer Beach, nan","(-155.822, 20.024)",pt_35.3792_-120.8533,"Morro Bay, United States","(-120.8533, 35.3792)",3818.107375316484,2000.33,94,95
pt_45.5228_-122.9897-pt_35.3792_-120.8533,pt_45.5228_-122.9897,"Hillsboro, United States","(-122.9897, 45.5228)",pt_35.3792_-120.8533,"Morro Bay, United States","(-120.8533, 35.3792)",1140.749467945477,2000.33,96,95
pt_21.354973_-158.130271-pt_45.644_-123.94,pt_21.354973_-158.130271,"Kahe Point, nan","(-158.1302707, 21.354973)",pt_45.644_-123.94,"Nedonna Beach, United States","(-123.94, 45.644)",4111.440165649672,2000.33,97,98
pt_45.644_-123.94-pt_45.5228_-122.9897,pt_45.644_-123.94,"Nedonna Beach, United States","(-123.94, 45.644)",pt_45.5228_-122.9897,"Hillsboro, United States","(-122.9897, 45.5228)",75.3768093475781,2000.33,98,96
pt_-18.1333_178.4333-grid_-16.8_-173.65,pt_-18.1333_178.4333,"Suva, nan","(178.4333, -18.1333)",grid_-16.8_-173.65,grid_-16.8_-173.65,"(-173.65, -16.8)",853.6676404222075,2000.33,99,100
grid_-16.8_-173.65-grid_-16.4_-173.45,grid_-16.8_-173.65,grid_-16.8_-173.65,"(-173.65, -16.8)",grid_-16.4_-173.45,grid_-16.4_-173.45,"(-173.45, -16.4)",49.14212797191586,2000.33,100,101
grid_-16.4_-173.45-grid_-16.0_-173.25,grid_-16.4_-173.45,grid_-16.4_-173.45,"(-173.45, -16.4)",grid_-16.0_-173.25,grid_-16.0_-173.25,"(-173.25, -16.0)",49.159575596598245,2000.33,101,102
grid_-16.0_-173.25-pt_21.354973_-158.130271,grid_-16.0_-173.25,grid_-16.0_-173.25,"(-173.25, -16.0)",pt_21.354973_-158.130271,"Kahe Point, nan","(-158.1302707, 21.354973)",4449.640803375315,2000.33,102,97
pt_-18.1333_178.4333-grid_-28.9_163.0,pt_-18.1333_178.4333,"Suva, nan","(178.4333, -18.1333)",grid_-28.9_163.0,grid_-28.9_163.0,"(163.0, -28.9)",1972.9115333162822,2000.33,99,93
grid_-28.9_163.0-grid_-29.9_161.5,grid_-28.9_163.0,grid_-28.9_163.0,"(163.0, -28.9)",grid_-29.9_161.5,grid_-29.9_161.5,"(161.5, -29.9)",182.98021082303208,2000.33,93,91
grid_-29.9_161.5-pt_-33.765_151.2678,grid_-29.9_161.5,grid_-29.9_161.5,"(161.5, -29.9)",pt_-33.765_151.2678,"Brookvale, Australia","(151.2678, -33.765)",1058.5100480433707,2000.33,91,103
pt_-33.9022_151.2004-pt_-33.765_151.2678,pt_-33.9022_151.2004,"Alexandria, Australia, Australia","(151.2004, -33.9022)",pt_-33.765_151.2678,"Brookvale, Australia","(151.2678, -33.765)",16.447339338651034,2000.33,89,103
