Node ID,Name,Longitude,Latitude,Hop_ID,system_ID,Country
pt_12.0131_-83.7649,"Bluefields, Nicaragua",-83.7649,12.0131,154,2001.11,Nicaragua
pt_14.0297_-83.3833,"Puerto Cabezas, Nicaragua",-83.3833,14.0297,155,2001.11,Nicaragua
pt_15.2664_-83.7725,"Puerto Lempira, Honduras",-83.7725,15.2664,156,2001.11,Honduras
pt_15.9186_-85.9533,"Trujillo, Honduras",-85.9533,15.9186,157,2001.11,Honduras
pt_15.8514_-87.9427,"Puerto Cortes, Honduras",-87.9427,15.8514,158,2001.11,Honduras
pt_24.435324_-75.536051,"Cat Island, nan",-75.536051,24.435324,159,2001.11,Bahamas
pt_15.73_-88.6,"Puerto Barrios, Guatemala",-88.6,15.73,160,2001.11,Guatemala
pt_17.4986_-88.1886,"Belize City, nan",-88.1886,17.4986,161,2001.11,Belize
pt_20.2175_-87.4627,"Tulum, Mexico",-87.4627,20.2175,162,2001.11,Mexico
pt_21.1614_-86.8248,"Cancun, Mexico",-86.8248,21.1614,163,2001.11,Mexico
pt_25.9303_-80.1697,"North Miami Beach, United States",-80.1697,25.9303,164,2001.11,United States
pt_22.685583_-74.185642,"Crooked Island, nan",-74.185642,22.685583,165,2001.11,Bahamas
pt_21.779512_-72.225489,"Providenciales, nan",-72.225489,21.779512,166,2001.11,Turks and Caicos Islands
pt_19.7958_-70.6944,"Puerto Plata, Dominican Republic",-70.6944,19.7958,167,2001.11,Dominican Republic
pt_18.5586_-68.3694,"Punta Cana, Dominican Republic",-68.3694,18.5586,168,2001.11,Dominican Republic
pt_18.4653_-66.1167,"San Juan, Puerto Rico",-66.1167,18.4653,169,2001.11,Puerto Rico
pt_12.108_-68.935,"Willemstad, nan",-68.935,12.108,170,2001.11,Curacao
pt_22.3124_114.175294,"nan, Hong Kong",114.175294,22.3124,171,2001.15,China
pt_25.154089_121.392922,"Pa Li, Taiwan",121.392922,25.154089,172,2001.15,Taiwan
pt_36.83459_126.194528,"Shindu Ri, South Korea",126.19452832107433,36.834590003953686,173,2001.15,South Korea
pt_36.385565_140.616861,"Ajigaura, Japan",140.616861,36.385565,174,2001.15,Japan
pt_34.3282_136.8297,"Shima, Japan",136.8297,34.3282,175,2001.15,Japan
pt_34.3282_136.8297,"Shima, Japan",136.8297,34.3282,176,2001.16,Japan
pt_34.95_139.95,"Chikura, Japan",139.95,34.95,177,2001.16,Japan
pt_14.352874_120.789294,"Capipisa, Philippines",120.789294,14.352874,178,2001.16,Philippines
pt_22.3124_114.175294,"nan, Hong Kong",114.175294,22.3124,179,2001.16,China
pt_35.172971_129.071611,"Pusan, South Korea",129.071611,35.172971,180,2001.16,South Korea
pt_30.898341_121.919541,"Nanhui, China",121.919541,30.898341,181,2001.16,China
pt_25.1667_121.4333,"Tamshui, Taiwan",121.4333,25.1667,182,2001.16,Taiwan
pt_22.6333_120.35,"Fangshan, Taiwan",120.35,22.6333,183,2001.16,Taiwan
pt_1.353925_103.974697,"Changi, Singapore",103.9746973,1.3539247,184,2001.16,Singapore
grid_34.56_139.84,grid_34.56_139.84,139.84,34.56,185,2001.16,grid_34.56_139.84
pt_22.228_113.933,"Tong Fuk, Hong Kong",113.933,22.228,186,2001.17,China
grid_26.3_126.0,grid_26.3_126.0,126,26.3,187,2001.17,grid_26.3_126.0
pt_35.172971_129.071611,"Pusan, South Korea",129.071611,35.172971,188,2001.17,South Korea
pt_35.0432_139.84,"Wada, Japan",139.84,35.0432,189,2001.17,Japan
pt_24.85_121.8167,"Toucheng, Taiwan",121.8167,24.85,190,2001.17,Taiwan
pt_26.577433_-78.857533,"Hawksbill, nan",-78.857533,26.577433,191,2001.2,Bahamas
pt_26.3686_-80.1,"Boca Raton, United States",-80.1,26.3686,192,2001.2,United States
pt_26.719713_-78.010855,"Riding Point, nan",-78.010855,26.719713,193,2001.2,Bahamas
